418.36,7.57,4.64,6739.01,1.16
440.5,12.73,5.15,6739.01,0.64
409.12,10.18,4.92,5483.66,1.02
416.32,8.56,5.29,6642.3,1.08
421.98,11.96,6.17,7074.69,0.82
435.51,9.96,6.38,6932.53,1.08
437.31,8.84,6.3,6932.53,1.21
442.95,11.55,4.91,6595.99,0.95
411.9,8.97,4.69,6709.72,1.1
406.53,8.44,4.96,6935.94,1.28
399.53,9.45,5.11,5904.07,1.13
398.95,9.85,5.82,6387.12,1.09
380.9,10.57,6.79,6852.5,1.1
485.74,9.08,6.7,6979.4,1.38
400.1,7.78,4.63,6438.08,1.15
424.76,10.53,4.9,6438.08,0.91
398.07,9.11,4.79,6063.56,1.04
419.93,12.48,5.28,6227.47,0.7
403.17,9.41,5.5,7010.32,1.08
401.42,9.43,5.55,6944.8,1.1
417.71,13.68,5.79,6944.8,0.69
447.74,10.77,4.95,6779.89,0.84
421.44,9.32,4.83,6779.89,0.96
414.12,8.47,5.06,5500.71,1.11
406.11,9.21,5.67,6599.1,1.22
410.59,10.17,6.14,6416.94,1.17
479.52,9.01,6.71,6894.8,1.31
487.99,9.49,6.69,6998.14,1.43
430.16,10.92,4.82,6636.71,1.06
447.03,13.16,5.02,6636.71,0.84
412.38,7.86,4.59,6714.88,1.19
432.75,13.16,5.37,7019.11,0.73
406.08,9.3,5.34,6871.02,1.12
398.36,9.8,5.42,6878.71,1.08
404.06,8.34,5.28,6878.71,1.23
415.75,9.45,4.79,6787.49,1.06
420.71,9.76,4.78,6787.49,1.07
408.46,8.09,4.98,7038.49,1.21
425.13,12.56,5.49,6819.34,0.86
398.14,10.66,5.49,6478.95,0.93
395.77,6.42,5.51,6478.95,0.89
403.26,7.95,5.22,6352.74,1.19
409.5,7.97,4.56,6550,1.29
407.59,9.48,4.83,6597.05,0.97
402.92,8.97,4.78,6122.12,1.14
411.1,10.53,5.21,6442.14,1.06
401.27,11.07,5.66,6975.59,1.01
400.55,10.9,5.81,7005.67,1.1
428.54,8.7,5.62,7005.67,1.34
438.65,10.67,4.88,6636.71,0.99
414.97,7.63,4.56,6709.72,1.2
402.45,8.68,4.69,6174.28,1.21
407.46,8.88,4.87,6318.81,1.24
407.78,8.69,5.34,6961.13,1.28
406.46,16.18,5.9,6837.11,0.63
402.28,11.43,5.78,6841.75,1
450.4,12.02,5,6757.17,0.84
417.84,8.03,4.61,6757.17,1.21
412.18,9.74,5.01,6048.14,1.12
408.32,9.09,5.38,7049.54,1.22
405.36,9.77,5.39,6686.8,1.08
425.86,8.39,5.31,6554.53,1.43
399.4,10.03,5.49,6554.53,1.26
368.84,10.17,5.21,6606.14,0.33
403.01,8.07,4.85,6692.55,1.23
389.59,9.31,5.17,5984.21,1.03
450.44,36.71,5.52,6865.32,0.13
391.06,10.54,5.61,6974.21,0.99
390.97,10.48,5.64,6976.37,1
765.94,17.77,5.8,6976.37,0.42
423.5,9.52,4.8,6525.13,0.98
424.51,13.33,5.12,6525.13,0.61
417.27,12.12,5.4,5691.09,0.79
402.55,8.42,5.45,5977.09,1.15
444.66,8.51,6.28,6979.3,1.14
383.55,8.21,6.74,6994.88,1.17
375.47,8.34,6.77,6994.88,1.11
419.16,8.56,4.69,6574.01,1.32
411.4,8.3,4.73,5410.81,1.3
359.08,13.1,5.45,5562.58,0.46
418.36,7.57,4.64,6739.01,1.16
440.5,12.73,5.15,6739.01,0.64
409.12,10.18,4.92,5483.66,1.02
416.32,8.56,5.29,6642.3,1.08
421.98,11.96,6.17,7074.69,0.82
435.51,9.96,6.38,6932.53,1.08
437.31,8.84,6.3,6932.53,1.21
442.95,11.55,4.91,6595.99,0.95
411.9,8.97,4.69,6709.72,1.1
406.53,8.44,4.96,6935.94,1.28
399.53,9.45,5.11,5904.07,1.13
398.95,9.85,5.82,6387.12,1.09
380.9,10.57,6.79,6852.5,1.1
485.74,9.08,6.7,6979.4,1.38
400.1,7.78,4.63,6438.08,1.15
424.76,10.53,4.9,6438.08,0.91
398.07,9.11,4.79,6063.56,1.04
419.93,12.48,5.28,6227.47,0.7
403.17,9.41,5.5,7010.32,1.08
401.42,9.43,5.55,6944.8,1.1
417.71,13.68,5.79,6944.8,0.69
447.74,10.77,4.95,6779.89,0.84
421.44,9.32,4.83,6779.89,0.96
414.12,8.47,5.06,5500.71,1.11
406.11,9.21,5.67,6599.1,1.22
410.59,10.17,6.14,6416.94,1.17
479.52,9.01,6.71,6894.8,1.31
487.99,9.49,6.69,6998.14,1.43
430.16,10.92,4.82,6636.71,1.06
447.03,13.16,5.02,6636.71,0.84
412.38,7.86,4.59,6714.88,1.19
432.75,13.16,5.37,7019.11,0.73
406.08,9.3,5.34,6871.02,1.12
398.36,9.8,5.42,6878.71,1.08
404.06,8.34,5.28,6878.71,1.23
415.75,9.45,4.79,6787.49,1.06
420.71,9.76,4.78,6787.49,1.07
408.46,8.09,4.98,7038.49,1.21
425.13,12.56,5.49,6819.34,0.86
398.14,10.66,5.49,6478.95,0.93
395.77,6.42,5.51,6478.95,0.89
403.26,7.95,5.22,6352.74,1.19
409.5,7.97,4.56,6550,1.29
407.59,9.48,4.83,6597.05,0.97
402.92,8.97,4.78,6122.12,1.14
411.1,10.53,5.21,6442.14,1.06
401.27,11.07,5.66,6975.59,1.01
400.55,10.9,5.81,7005.67,1.1
428.54,8.7,5.62,7005.67,1.34
438.65,10.67,4.88,6636.71,0.99
414.97,7.63,4.56,6709.72,1.2
402.45,8.68,4.69,6174.28,1.21
407.46,8.88,4.87,6318.81,1.24
407.78,8.69,5.34,6961.13,1.28
406.46,16.18,5.9,6837.11,0.63
402.28,11.43,5.78,6841.75,1
450.4,12.02,5,6757.17,0.84
417.84,8.03,4.61,6757.17,1.21
412.18,9.74,5.01,6048.14,1.12
408.32,9.09,5.38,7049.54,1.22
405.36,9.77,5.39,6686.8,1.08
425.86,8.39,5.31,6554.53,1.43
399.4,10.03,5.49,6554.53,1.26
368.84,10.17,5.21,6606.14,0.33
403.01,8.07,4.85,6692.55,1.23
389.59,9.31,5.17,5984.21,1.03
450.44,36.71,5.52,6865.32,0.13
391.06,10.54,5.61,6974.21,0.99
390.97,10.48,5.64,6976.37,1
765.94,17.77,5.8,6976.37,0.42
423.5,9.52,4.8,6525.13,0.98
424.51,13.33,5.12,6525.13,0.61
417.27,12.12,5.4,5691.09,0.79
402.55,8.42,5.45,5977.09,1.15
444.66,8.51,6.28,6979.3,1.14
383.55,8.21,6.74,6994.88,1.17
375.47,8.34,6.77,6994.88,1.11
419.16,8.56,4.69,6574.01,1.32
411.4,8.3,4.73,5410.81,1.3
359.08,13.1,5.45,5562.58,0.46
